"","date","disney_stock"
"1680",2013-09-04,61.1100006103516
"1681",2013-09-05,61.2999992370605
"1682",2013-09-06,61.3899993896484
"1683",2013-09-09,61.5900001525879
"1684",2013-09-10,62.8300018310547
"1685",2013-09-11,63.939998626709
"1686",2013-09-12,65.4899978637695
"1687",2013-09-13,66.6900024414062
"1688",2013-09-16,66.9400024414062
"1689",2013-09-17,66.9800033569336
"1690",2013-09-18,67.1100006103516
"1691",2013-09-19,65.7200012207031
"1692",2013-09-20,65.0100021362305
"1693",2013-09-23,64.75
"1694",2013-09-24,64.3199996948242
"1695",2013-09-25,64.4499969482422
"1696",2013-09-26,65.2399978637695
"1697",2013-09-27,65.1900024414062
"1698",2013-09-30,64.4899978637695
"1699",2013-10-01,64.8300018310547
"1700",2013-10-02,64.879997253418
"1701",2013-10-03,64.0199966430664
"1702",2013-10-04,65.3000030517578
"1703",2013-10-07,64.5899963378906
"1704",2013-10-08,64
"1705",2013-10-09,63.5900001525879
"1706",2013-10-10,65.5800018310547
"1707",2013-10-11,66.2099990844727
"1708",2013-10-14,66.8300018310547
"1709",2013-10-15,66.4400024414062
"1710",2013-10-16,66.3499984741211
"1711",2013-10-17,66.4199981689453
"1712",2013-10-18,67.1500015258789
"1713",2013-10-21,67.6100006103516
"1714",2013-10-22,69
"1715",2013-10-23,68.120002746582
"1716",2013-10-24,69.0500030517578
"1717",2013-10-25,69.2600021362305
"1718",2013-10-28,69
"1719",2013-10-29,68.9199981689453
"1720",2013-10-30,68.4700012207031
"1721",2013-10-31,68.5899963378906
"1722",2013-11-01,69.0100021362305
"1723",2013-11-04,68.8099975585938
"1724",2013-11-05,68.8499984741211
"1725",2013-11-06,69
"1726",2013-11-07,67.1500015258789
"1727",2013-11-08,68.5800018310547
"1728",2013-11-11,68.3399963378906
"1729",2013-11-12,67.7699966430664
"1730",2013-11-13,68.9700012207031
"1731",2013-11-14,70.0199966430664
"1732",2013-11-15,70
"1733",2013-11-18,69.5
"1734",2013-11-19,69.120002746582
"1735",2013-11-20,69.2300033569336
"1736",2013-11-21,69.9400024414062
"1737",2013-11-22,70.1999969482422
"1738",2013-11-25,69.7399978637695
"1739",2013-11-26,71.1800003051758
"1740",2013-11-27,70.7699966430664
"1741",2013-11-29,70.5400009155273
"1742",2013-12-02,70.9100036621094
"1743",2013-12-03,69.9000015258789
"1744",2013-12-04,69.9700012207031
"1745",2013-12-05,70.2300033569336
"1746",2013-12-06,71.4599990844727
"1747",2013-12-09,71.1100006103516
"1748",2013-12-10,71.5699996948242
"1749",2013-12-11,70.5199966430664
"1750",2013-12-12,69.629997253418
"1751",2013-12-13,69.620002746582
"1752",2013-12-16,70.5100021362305
"1753",2013-12-17,70.6600036621094
"1754",2013-12-18,72.1999969482422
"1755",2013-12-19,72.9700012207031
"1756",2013-12-20,72.4000015258789
"1757",2013-12-23,73.2799987792969
"1758",2013-12-24,73.8499984741211
"1759",2013-12-26,74.620002746582
"1760",2013-12-27,74.3499984741211
"1761",2013-12-30,76.2300033569336
"1762",2013-12-31,76.4000015258789
"1763",2014-01-02,76.2699966430664
"1764",2014-01-03,76.1100006103516
"1765",2014-01-06,75.8199996948242
